학교명,학제,설립구분,시,지역,학교홈페이지,등록금,국가장학금,지방자치단체장학금,사설및기타장학금,성적우수장학금,근로장학금,기타장학금,교외장학금,교내장학금,전체 장학금,남은 장학금
마산대학교,전문대학,사립,경남,창원시,www.masan.ac.kr,5885696,15093591930,18952640,189228000,991456660,382494000,2633062350,15301772570,4007013010,19308785580,19302899884
명지대학교,대학교,사립,"경기, 서울","용인시, 서대문구",www.mju.ac.kr,8126888,29252760810,139240400,360354000,2904103500,920188802,8697218180,29752355210,12521510482,42273865692,42265738804
명지전문대학,전문대학,사립,서울,서대문구,www.mjc.ac.kr,6580480,19979269144,116446560,115952550,505327600,914565676,1864188065,20211668254,3284081341,23495749595,23489169115
목원대학교,대학교,사립,대전,서구,www.mokwon.ac.kr,7297250,19488083046,52911920,118477000,1826163160,527511034,3561973303,19659471966,5915647497,25575119463,25567822213
목포가톨릭대학교,대학교,사립,전남,목포시,www.mcu.ac.kr,6539000,1784424900,0,163670000,395273320,4947950,55043800,1948094900,455265070,2403359970,2396820970
목포과학대학교,전문대학,사립,전남,목포시,www.msu.ac.kr,5741669,8929066818,0,324635000,95479500,236159670,998263340,9253701818,1329902510,10583604328,10577862659
목포대학교,대학교,국립,전남,무안군,www.mokpo.ac.kr,3887172,17548929010,467713280,451772422,1428669970,718855040,765009700,18468414712,2912534710,21380949422,21377062250
목포해양대학교,대학교,국립,전남,목포시,www.mmu.ac.kr,3404767,4431159850,37798780,389672000,733264000,137059990,424995810,4858630630,1295319800,6153950430,6150545663
문경대학교,전문대학,사립,경북,문경시,www.mkc.ac.kr,5899100,3060761522,85722480,21850000,144218000,31745408,98846300,3168334002,274809708,3443143710,3437244610
배재대학교,대학교,사립,대전,서구,www.pcu.ac.kr,7282058,18810956459,37040800,94284680,1263794580,514449396,3844664930,18942281939,5622908906,24565190845,24557908787
배화여자대학교,전문대학,사립,서울,종로구,www.baewha.ac.kr,6038476,7048089865,1050300,88873000,763596000,100828050,472254594,7138013165,1336678644,8474691809,8468653333
백석대학교,대학교,사립,충남,천안시,www.bu.ac.kr,7917546,29654832334,12531280,247080900,4165567000,258749806,3834114620,29914444514,8258431426,38172875940,38164958394
백석문화대학교,전문대학,사립,충남,천안시,www.bscu.ac.kr,6862914,12050397633,10100000,99775000,608359500,159638992,1915991530,12160272633,2683990022,14844262655,14837399741
백제예술대학교,전문대학,사립,전북,완주군,www.paekche.ac.kr,7554457,2953313233,0,4000000,278398800,43050000,176175500,2957313233,497624300,3454937533,3447383076
부경대학교,대학교,국립,부산,남구,www.pknu.ac.kr,4035531,31529438625,107467410,1399974911,3183755660,1776576100,2457559480,33036880946,7417891240,40454772186,40450736655
부산가톨릭대학교,대학교,사립,부산,금정구,www.cup.ac.kr,6850820,12906880524,36793120,126755000,1130582334,359324734,1614524000,13070428644,3104431068,16174859712,16168008892
부산경상대학교,전문대학,사립,부산,연제구,www.bsks.ac.kr,5762475,11398026503,7562840,25810000,66251850,151020052,2825620000,11431399343,3042891902,14474291245,14468528770
부산과학기술대학교,전문대학,사립,부산,북구,bist.ac.kr,6080328,9512471180,27484880,120600000,507964000,67163886,2421516800,9660556060,2996644686,12657200746,12651120418
부산대학교,대학교,국립,부산,금정구,www.pusan.ac.kr,4464815,36080650047,1008221310,2370819580,6035027000,1603041028,2212544880,39459690937,9850612908,49310303845,49305839030
부산여자대학교,전문대학,사립,부산,부산진구,www.bwc.ac.kr,5964228,6782479263,2214880,72054400,189312600,179538128,1016023520,6856748543,1384874248,8241622791,8235658563
부산예술대학교,전문대학,사립,부산,남구,www.busanarts.ac.kr,6168139,2081163436,0,24479000,54820000,20732582,509718450,2105642436,585271032,2690913468,2684745329
부산외국어대학교,대학교,사립,부산,금정구,www.bufs.ac.kr,6280817,14715901853,33178880,195326000,1043986000,841941110,3371620367,14944406733,5257547477,20201954210,20195673393
부산장신대학교,대학교,사립,경남,김해시,www.bpu.ac.kr,5815145,625810761,0,35400000,38147000,15362234,80105000,661210761,133614234,794824995,789009850
부천대학교,전문대학,사립,경기,부천시,www.bc.ac.kr,6669357,23755129356,10819880,84423930,1689348380,680751606,2739329440,23850373166,5109429426,28959802592,28953133235
삼육대학교,대학교,사립,서울,노원구,www.syu.ac.kr,7830281,13489174356,270258065,432805625,1239860150,1396958708,2573870460,14192238046,5210689318,19402927364,19395097083
삼육보건대학교,전문대학,사립,서울,동대문구,www.shu.ac.kr,5794464,2978323575,3966400,36053500,359470900,183282540,379624900,3018343475,922378340,3940721815,3934927351
상명대학교,대학교,사립,"충남, 서울","종로구, 천안시",www.smu.ac.kr,7960516,26388785807,79254780,354981020,6437066033,1240634797,3746890210,26823021607,11424591040,38247612647,38239652131
상지대학교,대학교,사립,강원,원주시,www.sangji.ac.kr,7245284,12914879512,353868220,405485650,868770100,115018408,3964681746,13674233382,4948470254,18622703636,18615458352
서강대학교,대학교,사립,서울,마포구,www.sogang.ac.kr,7999996,10785411833,123255220,2310428800,766461000,1853849029,1174686606,13219095853,3794996635,17014092488,17006092492
